ID,outsider,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,recommend,future_recommend,lookfor,future_lookfor,trust,firstknow,knowyear,experience,times
150,1,7,8,8,6,5,4,6,6,7,5,5,7,6,4,4,7,2,5,1,7,10,9,9,2016,3,3.5,1
151,1,8,7,3,1,2,10,2,10,2,5,10,10,1,2,10,7,5,1,1,10,9,10,10,2016,3,8.5,1
152,1,10,10,10,10,5,5,7,7,5,5,10,8,10,5,5,8,7,5,1,8,5,7,7,2015,4,6,1
153,1,9,10,9,10,9,9,10,10,9,9,10,9,10,10,9,10,10,9,1,10,10,9,9,2014,5,8.5,1
154,1,8,8,5,10,10,7,8,8,8,8,8,5,9,9,7,8,7,8,1,8,6,7,7,2014,5,6,1
155,1,7,10,7,7,5,10,5,6,6,6,10,6,7,8,7,8,6,7,1,8,7,5,5,2016,3,3.5,2
156,1,9,8,4,6,5,7,6,6,6,8,10,5,7,5,5,9,7,7,0,8,5,6,8,2016,3,10,1
157,1,8,8,8,7,7,8,7,7,7,9,7,9,8,9,8,7,7,6,1,8,6,7,7,2015,4,6,1
158,1,9,9,6,10,9,9,9,6,6,9,9,5,10,7,8,9,6,6,1,10,10,10,10,2015,4,8.5,1
159,1,6,5,4,3,5,5,7,7,3,4,8,5,8,5,5,6,10,4,1,3,4,4,7,2015,4,3.5,1
160,1,10,7,5,10,9,10,10,10,8,10,9,6,10,8,10,10,10,7,1,9,5,7,7,2015,4,10,1
161,1,8,8,7,8,8,8,8,8,7,8,7,7,9,9,9,9,8,7,1,8,9,10,9,2015,4,10,3
162,1,5,8,9,6,7,7,4,5,7,9,7,7,9,8,5,6,6,8,,,,,,,,,
163,1,9,8,8,7,9,9,10,9,5,9,8,9,9,9,9,10,9,6,1,7,8,8,7,2017,2,3.5,1
164,1,8,8,10,7,7,7,8,8,10,8,8,9,8,8,8,8,9,9,1,10,10,10,10,2016,3,6,2
165,1,5,5,8,8,7,9,9,8,6,5,5,9,9,8,8,7,6,6,0,5,7,7,7,2018,1,10,1
166,1,9,7,5,10,10,8,8,10,8,7,10,7,10,10,7,10,10,10,1,10,10,10,10,2017,2,10,2
167,1,7,9,9,10,9,9,7,10,6,10,10,10,10,10,9,10,6,6,1,10,8,9,9,2014,5,6,3
168,1,9,8,9,6,8,9,8,8,6,7,9,8,7,9,9,9,8,6,1,3,6,8,8,2016,3,10,1
169,1,8,8,5,7,8,8,7,5,8,7,7,8,8,8,7,7,6,7,1,9,8,8,8,2014,5,10,3
170,1,10,9,7,8,9,8,9,10,9,10,9,6,8,9,9,9,9,9,1,10,9,9,9,2014,5,10,3
171,1,10,10,6,10,10,10,6,6,6,10,10,6,10,10,10,6,6,6,1,10,8,8,8,2014,5,10,2
172,1,9,9,10,9,5,8,8,8,10,9,9,10,10,8,8,9,8,8,1,10,9,9,9,2014,5,10,3
173,1,8,10,5,7,6,10,9,6,5,7,6,6,10,6,10,10,6,6,1,8,3,6,9,2016,3,3.5,1
174,1,10,10,10,5,7,5,6,8,5,10,10,10,7,8,8,8,7,5,1,7,7,7,9,2016,3,6,1
175,1,8,7,5,7,7,6,7,8,8,8,9,5,10,7,7,6,8,8,1,10,8,8,9,2014,5,10,5
176,1,6,7,7,8,8,8,9,6,8,6,6,9,9,9,8,9,7,8,1,7,6,6,8,2014,5,6,1
177,1,10,9,7,7,8,6,5,5,8,10,7,5,8,8,5,5,3,7,1,7,3,6,7,2014,5,10,1
178,0,8,9,8,8,7,7,7,7,7,6,8,8,7,8,9,9,9,9,1,8,8,9,9,2014,5,10,1
179,0,7,8,5,8,8,9,9,8,6,8,8,7,9,6,9,9,6,6,1,9,6,8,9,2014,5,10,3
180,0,8,10,9,8,7,6,8,8,8,8,9,10,10,9,9,9,5,7,1,10,8,5,8,2015,4,10,1
181,0,10,10,6,6,6,7,6,7,9,9,9,8,8,7,7,8,6,9,1,10,10,10,10,2014,5,6,2
182,0,10,7,2,5,8,5,7,6,4,9,6,5,5,7,5,9,5,5,1,10,9,10,9,2014,5,10,2
183,0,7,8,2,5,2,5,9,8,6,6,8,0,2,0,2,10,10,4,0,7,1,1,0,2014,5,10,2
